a	a art.一;字母A
a.m.	a.m. n.上午
a/c	a/c n.往来帐户 往来:come-and-go;contact;intercourse n.往来帐户
aardvark	aardvark n.土猪
aardwolf	aardwolf n.土狼
aasvogel	aasvogel n.秃鹰之一种
abaci	abaci n.算盘
aback	aback ad.向后地;朝后地
abacus	abacus n.算盘
abaft	abaft ad.向船尾 prep.在...后
abalone	abalone n.鲍鱼
abandon	abandon vt.放弃;沉溺 n.放任
abandoned	abandoned a.被抛弃的;自弃的;自甘堕落的
abandonee	abandonee n.被遗弃者;被委付者
abandoner	abandoner n.遗弃者;委付者
abandonment	abandonment n.放弃;自暴自弃;放纵
abas	abas vt.打倒
abase	abase vt.降低...的地位;降低...的品格;贬抑
abasement	abasement n.贬抑;屈辱;谦卑
abash	abash vt.使...羞愧;使困窘
abashment	abashment n.羞愧;
abate	abate vt.缓和;减弱;减少;废除 vi.缓和;减弱;减少
abatement	abatement n.减少;减轻;缓和
abatis	abatis n.鹿柴;拒木;铁丝网
abb	abb n.横丝;纬;羊毛
abbacy	abbacy n.大修道院院长之职位;管区;任期
abbatial	abbatial a.大修道院的;大修道院长的;女大修道院长的
abbe	abbe n.大修道院院长;僧侣;神父
abbess	abbess n.女修道院院长;女庵主持
abbey	abbey n.修道院
abbot	abbot n.修道院院长;方丈;住持
abbreviate	abbreviate vt.缩写;使...简略;缩短
abbreviation	abbreviation n.缩写
abbreviator	abbreviator n.缩写者
abc	abc n.基础知识;美国广播公司;澳大利亚广播公司
abcoulomb	abcoulomb n.绝对库伦
abdicate	abdicate vt.放弃 vi.逊位
abdication	abdication n.逊位;弃权;辞职
abdicator	abdicator n.放弃者;让位者
abdomen	abdomen n.腹部
abdominal	abdominal a.腹部的;腹式呼吸;开腹手术
abduct	abduct vt.诱拐;绑走
abduction	abduction n.诱拐
abductor	abductor n.诱拐者
Abe	Abe n.亚伯;Abraham的昵称
abeam	abeam ad.与船的龙骨成直角
abecedarian	abecedarian n.初学者 a.字母的;初步的
abed	abed ad.在床上
abelmosk	abelmosk n.秋葵
aberrance	aberrance n.脱离正道;越轨;脱离常轨
aberrant	aberrant a.脱离正道的;脱离常轨的;变体的
aberration	aberration n.越轨;光行差;心理失常;色差
abestrine	abestrine adj.石棉的
abet	abet vt.教唆;帮助
abeyance	abeyance n.中止;暂搁;停止
abfarad	abfarad n.绝对法拉
abhenry	abhenry n.绝对亨利
abhor	abhor vt.憎恶;痛恨
abhorrence	abhorrence n.痛恨
abhorrent	abhorrent a.令人憎恨的;可恶的;厌恶的;相反的;不一致的
abidance	abidance n.遵守;持续;居住
abide	abide vi.遵守;忍受;居留;坚持 vt.忍受
abide by	abide by v.遵守;坚持
abiding	abiding a.永久的;持久的;不变的
abient	abient adj.回避的
Abigail	Abigail n.使女
ability	ability n.能力;才干
abject	abject a.不幸的;可怜的;悲惨的
abjection	abjection n.卑鄙;落魄
abjuration	abjuration n.放弃;誓绝
abjure	abjure vt.发誓放弃
ablactation	ablactation n.断奶
ablate	ablate vt.vi.切除;腐蚀;蒸发
ablating	ablating adj.烧蚀的
ablation	ablation n.烧蚀
ablaut	ablaut n.元音变换
ablaze	ablaze a.着火的;闪亮的;激昂的 ad.着火;闪耀
able	able a.能干的;能够的
able-bodied	able-bodied a.强壮的;强健的
ablebodied	ablebodied a.强壮的;强健的
abloom	abloom ad.开花 a.开花的
ablush	ablush a.脸红 ad.脸红
ablution	ablution n.洗身;洗礼;斋戒沐浴
ably	ably ad.能干地;巧妙地
abnegate	abnegate vt.放弃;舍弃;戒禁
abnegation	abnegation n.拒绝;放弃
abnormal	abnormal a.不正常
abnormality	abnormality n.不正常;反常
abnormity	abnormity n.异常;不规则;异形
aboard	aboard ad.在船上;在火车上;在飞机上 prep.在...之上
abode	abode n.住所;住处
aboil	aboil a.沸腾的 ad.沸腾着
abolish	abolish vt.废止;革除;取消
abolishable	abolishable a.可废止的;可取消的
abolisher	abolisher n.废除者
abolishment	abolishment n.废止;革除;取消
abolition	abolition n.废除;废除奴隶制度
abolitionism	abolitionism n.废除主义;废奴主义
abolitionist	abolitionist n.废除主义者;废奴主义者
abominable	abominable a.讨厌的;令人憎恶的
abominably	abominably ad.可恶地;可恨地;极端地
abominate	abominate vt.痛恨;憎恶
abomination	abomination n.憎恨;痛恶;可憎的事物
aboral	aboral adj.反口的
aboriginal	aboriginal a.原始的;土著的 n.土著居民;土生生物
aborigine	aborigine n.山地人
aborigines	aborigines n.土人;原住民;土生生物
aborning	aborning ad.在生产中;刚要出生 a.在生产中的
abort	abort vi.流产;堕胎;失败 vt.使流产;使失败
aborted	aborted a.流产的;失败的
aborticide	aborticide n.堕胎;堕胎药
abortion	abortion n.流产;堕胎;失败;夭折
abortionist	abortionist n.为人堕胎者
abortive	abortive a.流产的;堕胎的;失败的
abound	abound vi.丰富;富于;充满
about	about ad.大约;四处;在附近;周围 prep.有关;大约;关于
about-turn	about-turn n.向后转;大改变 v.向后转;作大改变
above	above a.上述的;上面的 ad.在上面 prep.在上方;超出
above-board	above-board ad.光明正大地;率直地 a.光明正大的;率直的
aboveboard	aboveboard ad.光明正大地;率直地 a.光明正大的;率直的
aboveground	aboveground ad.在地上;未被埋葬地;活着
abracadabra	abracadabra n.咒语;胡言乱语
abradant	abradant a.摩擦着的 n.磨蚀剂
abrade	abrade vt.擦伤;磨损;磨
Abraham	Abraham n.亚伯拉罕
abrasion	abrasion n.磨去;磨损;磨损处
abrasive	abrasive n.研磨剂 a.研磨的
abreact	abreact vt.使消散;发泄
abreaction	abreaction n.消散;发泄
abreast	abreast ad.并肩地;相并地
abreast of the times	abreast of the times a.符合时代的;最新的
abridge	abridge vt.删节;缩短;剥夺
abridged	abridged adj.省略的
abridgement	abridgement n.删节;缩短;删节本
abridgment	abridgment n.删节;缩短;删节本;剥夺
abroad	abroad ad.往国外;到处
abrogate	abrogate vt.废除;取消
abrogation	abrogation n.废除;取消
abrupt	abrupt a.突然的;唐突的;陡峭的;不连贯的;无礼的
abruptly	abruptly ad.突然地;唐突地
abruptness	abruptness n.突然;唐突
abs	abs n.abs n.绝对值
abscess	abscess n.脓疮;溃疡
abscessed	abscessed a.长脓疮的
abscind	abscind vt.切断
abscissa	abscissa n.横坐标
abscission	abscission n.切断;除去;顿断法
abscond	abscond vt.潜逃;逃匿
abscondence	abscondence n.逃亡;失踪
absence	absence n.缺乏;没有;缺席
absent	absent a.缺席的;不在的;缺乏的;漫不经心的 vt.缺席
absentee	absentee n.缺席者;未上班者;不在者
absentee ballot	absentee ballot n.缺席选举人票
absently	absently ad.心不在焉地;茫然地
absentminded	absentminded a.心不在焉的;茫然的;恍惚的
absinth	absinth n.苦艾酒
absinthism	absinthism n.苦艾酒中毒
absolute	absolute a.绝对的;专制的;完全的;独立的 n.绝对
absolutely	absolutely ad.完全地;绝对地;正是如此
absoluteness	absoluteness n.绝对;完全;无限制
absolution	absolution n.免罪;赦免;忏悔式
absolutism	absolutism n.专制主义;专制政治论;绝对论
absolutist	absolutist n.专制主义者;专制政治论者;绝对论者
absolve	absolve vt.宣告...无罪;赦免;免除
absolve somebody from something	absolve somebody from something v.解除;赦免
absorb	absorb vt.吸收;并吞;全神贯注;同化
absorbability	absorbability n.吸收;可吸收性
absorbable	absorbable a.可吸收的;容易被吸收的
absorbed	absorbed a.全神贯注的;一心一意的
absorbency	absorbency n.吸收性
absorbent	absorbent a.能吸收的 n.吸收剂
absorber	absorber n.吸收体
absorbing	absorbing a.吸引人的;非常有趣的
absorptance	absorptance n.吸收比
absorption	absorption n.吸收;专心;热中
absorptive	absorptive a.吸收性的;有吸收力的
abstain	abstain vi.自制;戒绝;弃权;避免
abstainer	abstainer n.节制者;戒酒者;弃权者
abstemious	abstemious a.节制的;节约的
abstention	abstention n.节制;戒绝;避免;弃权
abstergent	abstergent a.去垢的 n.洗洁剂
abstinence	abstinence n.节制;禁欲;戒酒
abstinent	abstinent a.饮食有度的;有节制的;禁欲的
abstract	abstract n.摘要;抽象 a.抽象的;深奥的 vt.摘要;提炼;使抽象化
abstracted	abstracted a.心不在焉的;出神的;分心的
abstraction	abstraction n.抽象化;心不在焉;提炼;抽象派作品
abstractionism	abstractionism n.抽象派艺术
abstractionist	abstractionist n.抽象派艺术家
abstruse	abstruse a.难解的;深奥的
absurd	absurd a.荒谬的;不合理的;可笑的
absurdity	absurdity n.荒谬;悖理;荒谬的事
absurdly	absurdly ad.荒谬地;悖理地;愚蠢地
absurdness	absurdness n.荒谬;愚蠢
abulia	abulia n.意志力丧失
abundance	abundance n.丰富;充足
abundant	abundant a.丰富的;充分的
abundantly	abundantly ad.大量地;丰富地
abusage	abusage n.文字的滥用
abuse	abuse n.滥用;恶习;辱骂 vt.滥用;辱骂;虐待
abusive	abusive a.辱骂的;滥用的;陋习的
abut	abut vt.vi.邻接;毗邻
abutment	abutment n.邻接;接界;桥礅
abuttals	abuttals n.地界
abutter	abutter n.相邻房地产的业主
abutting	abutting a.邻接的
abuzz	abuzz a.嗡嗡的;嘁嘁喳喳的;活泼的
abysmal	abysmal a.深不可测的;无底的
abyss	abyss n.深渊;无底洞;地狱
abyssal	abyssal a.深渊的;深海的
Abyssinia	Abyssinia n.阿比西尼亚
Abyssinian	Abyssinian a.阿比西尼亚的 n.阿比西尼亚人;依索比亚人
ac	ac n.交流
acacia	acacia n.洋槐;刺块;阿拉伯橡胶树
academia	academia n.学术界;学术环境
academic	academic a.学院的;理论的;不够实际的
academical	academical n.大学制服
academician	academician n.学会会员;协会会员;院士
academicism	academicism n.艺术院的作风;形成主义
academy	academy n.学院;院校;学会
Acadia	Acadia n.包括现在NovaScotia州的旧称
acaleph	acaleph n.水母
acanthus	acanthus n.爵床属植物;叶形的装饰板
accede	accede vi.同意;就任;继承
accede to	accede to v.同意;加入;就任
accelerant	accelerant n.促进剂;触媒
accelerate	accelerate vt.vi.加速
accelerated	accelerated a.加速的
accelerating	accelerating ing.加速
acceleration	acceleration n.加速;促进;加速度
accelerator	accelerator n.加速者;加速器;油门
accelerometer	accelerometer n.加速计
