啊	娿
阿	婀
埃	埃
挨	挨
哎	餀
唉	呃
哀	哀
皑	皑
癌	癌
蔼	蔼
矮	婑
艾	銰
碍	碍
爱	嬡
隘	隘
鞍	鞍
氨	氨
安	鮟
俺	唵
按	洝
暗	暗
岸	岸
胺	胺
案	案
肮	肮
昂	昻
盎	盎
凹	凹
敖	獓
熬	熬
翱	翱
袄	仸
傲	謸
奥	奧
懊	襖
澳	奧
芭	妑
捌	捌
扒	朳
叭	朳
吧	妑
笆	笆
八	仈
疤	疤
巴	妑
拔	菝
跋	柭
靶	靶
把	妑
耙	耙
坝	坝
霸	覇
罢	罢
爸	妑
白	皛
柏	柏
百	咟
摆	擺
佰	佰
败	敗
拜	湃
稗	稗
斑	癍
班	癍
搬	搬
扳	扳
般	瘢
颁	頒
板	闆
版	蝂
扮	汾
拌	絆
伴	柈
瓣	瓣
半	柈
办	刅
绊	绊
邦	綁
帮	幇
梆	梆
榜	徬
膀	嫎
绑	垹
棒	蜯
磅	嫎
蚌	蚌
镑	镑
傍	徬
谤	谤
苞	苞
胞	菢
包	笣
褒	褒
剥	剝
薄	薄
雹	雹
保	湺
堡	堡
饱	怉
宝	寶
抱	砲
报	蕔
暴	懪
豹	豹
鲍	鲍
爆	嚗
杯	柸
碑	碑
悲	蕜
卑	萆
北	苝
辈	輩
背	揹
贝	赑
钡	钡
倍	俻
狈	狈
备	備
惫	惫
焙	焙
被	被
奔	渀
苯	苯
本	夲
笨	苯
崩	镚
绷	绷
甭	甭
泵	泵
蹦	嘣
迸	逬
逼	腷
鼻	嬶
比	仳
鄙	啚
笔	毣
彼	彼
碧	碧
蓖	蓖
蔽	幣
毕	滭
毙	斃
毖	毖
币	币
庇	庇
痹	痹
闭	閉
敝	獙
弊	弊
必	怭
辟	澼
壁	壁
臂	臂
避	鐴
陛	陛
鞭	鞭
边	笾
编	揙
贬	貶
扁	碥
便	楩
变	變
卞	卞
辨	辧
辩	辮
辫	辮
遍	猵
标	摽
彪	滮
膘	鏢
表	錶
鳖	鳖
憋	憋
别	莂
瘪	癟
彬	彬
斌	斌
濒	濒
滨	璸
宾	濱
摈	摈
兵	娦
冰	栤
柄	窉
丙	眪
秉	秉
饼	饼
炳	炳
病	疒
并	並
玻	箥
菠	菠
播	譒
拨	妭
钵	钵
波	菠
博	博
勃	勃
搏	搏
铂	铂
箔	箔
伯	伯
帛	帛
舶	舶
脖	脖
膊	膊
渤	渤
泊	泊
驳	訤
捕	峬
卜	卜
哺	誧
补	卟
埠	埠
不	芣
布	鈽
步	荹
簿	簿
部	蔀
怖	怖
擦	攃
猜	猜
裁	裁
材	財
才	財
财	財
睬	棌
踩	棌
采	采
彩	埰
菜	婇
蔡	蔡
餐	爘
参	傪
蚕	蛬
残	殘
惭	慙
惨	參
灿	灿
苍	芲
舱	舱
仓	仺
沧	獊
藏	蔵
操	懆
糙	鐰
槽	槽
曹	蓸
草	愺
厕	厠
策	憡
侧	側
册	冊
测	恻
层	層
蹭	竲
插	揷
叉	紁
茬	茬
茶	嗏
查	楂
碴	楂
搽	搽
察	镲
岔	岔
差	槎
诧	诧
拆	拆
柴	枈
豺	豺
搀	搀
掺	傪
蝉	蝉
馋	镵
谗	谗
缠	瀍
铲	铲
产	浐
阐	闡
颤	顫
昌	誯
猖	猖
场	畼
尝	甞
常	瑺
长	萇
偿	偿
肠	肠
厂	廠
敞	敞
畅	畅
唱	晿
倡	倡
超	趫
抄	莏
钞	鈔
朝	謿
嘲	謿
潮	謿
巢	漅
吵	訬
炒	炒
车	車
扯	扯
撤	徹
掣	掣
彻	沏
澈	瞮
郴	郴
臣	烥
辰	宸
尘	尘
晨	曟
忱	忱
沉	冗
陈	陳
趁	趁
衬	衬
撑	撐
称	稱
城	峸
橙	橙
成	荿
呈	珵
乘	塖
程	珵
惩	懲
澄	僜
诚	諴
承	承
逞	浧
骋	骋
秤	秤
吃	阣
痴	痴
持	歭
匙	匙
池	肔
迟	呎
弛	肔
驰	肔
耻	恥
齿	歯
侈	侈
尺	呎
赤	哧
翅	趐
斥	斥
炽	炽
充	茺
冲	沖
虫	蟲
崇	漴
宠	寵
抽	菗
酬	絒
畴	帱
踌	帱
稠	婤
愁	僽
筹	薵
仇	仇
绸	皗
瞅	瞅
丑	忸
臭	溴
初	初
出	炪
橱	廚
厨	廚
躇	躇
锄	鋤
雏	雛
滁	蒢
除	篨
楚	椘
础	绌
储	储
矗	矗
搐	搐
触	触
处	處
揣	遄
川	巛
穿	瑏
椽	椽
传	伝
船	船
喘	遄
串	賗
疮	疮
窗	囱
幢	幢
床	床
闯	闖
创	創
吹	欥
炊	炊
捶	腄
锤	腄
垂	箠
春	舂
椿	椿
醇	錞
唇	脣
淳	錞
纯	蒓
蠢	蠢
戳	戥
绰	焯
疵	疵
茨	垐
磁	濨
雌	雌
辞	辭
慈	濨
瓷	瓷
词	詞
此	泚
刺	剌
赐	賜
次	佽
聪	聪
葱	茐
囱	囱
匆	茐
从	苁
丛	苁
凑	凑
粗	粗
醋	齰
簇	簇
促	娖
蹿	蹿
篡	篡
窜	窜
摧	凗
崔	慛
催	慛
脆	脆
瘁	瘁
粹	濢
淬	濢
翠	濢
村	籿
存	洊
寸	籿
磋	磋
撮	撮
搓	髊
措	措
挫	挫
错	措
搭	溚
达	垯
答	荅
瘩	瘩
打	咑
大	汏
呆	槑
歹	歹
傣	傣
戴	瀻
带	帶
殆	殆
代	笩
贷	贷
袋	袋
待	待
逮	曃
怠	怠
耽	耽
担	泹
丹	冄
单	啴
郸	郸
掸	掸
胆	狚
旦	狚
氮	氮
但	泹
惮	惮
淡	惔
诞	诞
弹	弹
蛋	疍
当	當
挡	澢
党	黨
荡	蕩
档	澢
刀	叨
捣	搗
蹈	稲
倒	箌
岛	島
祷	祷
导	导
到	菿
稻	稲
悼	悼
道	檤
盗	盜
德	徳
得	嘚
的	哋
蹬	簦
灯	燈
登	憕
等	等
瞪	簦
凳	凳
邓	郰
堤	諟
低	彽
滴	嘀
迪	廸
敌	敵
笛	廸
狄	狄
涤	涤
翟	翟
嫡	嫡
抵	抵
底	疧
地	哋
蒂	渧
第	苐
帝	渧
弟	弚
递	递
缔	缔
颠	颠
掂	掂
滇	滇
碘	碘
点	點
典	敟
靛	靛
垫	垫
电	電
佃	佃
甸	甸
店	扂
惦	惦
奠	奠
淀	淀
殿	殿
碉	淍
叼	汈
雕	鵰
凋	蜩
刁	刁
掉	鋽
吊	铞
钓	銱
调	蜩
跌	瓞
爹	嗲
碟	渫
蝶	渫
迭	迭
谍	媟
叠	疉
丁	玎
盯	饤
叮	汀
钉	町
顶	嵿
鼎	鼎
锭	锭
定	萣
订	忊
丢	丟
东	崬
冬	笗
董	蓳
懂	慬
动	憅
栋	崬
侗	侗
恫	恫
冻	岽
洞	狪
兜	兠
抖	鬦
斗	乧
陡	跿
豆	荳
逗	浢
痘	哣
都	嘟
督	督
毒	毐
犊	渎
独	獨
读	渎
堵	陼
睹	睹
赌	帾
杜	荰
镀	镀
肚	肚
度	喥
渡	喥
妒	妒
端	鍴
短	短
锻	葮
段	葮
断	斷
缎	葮
堆	碓
兑	兌
队	隊
对	怼
墩	墩
吨	沌
蹲	壿
敦	敦
顿	頓
囤	囤
钝	沌
盾	盾
遁	遁
掇	掇
哆	哆
多	哆
夺	奪
垛	垛
躲	躱
朵	朶
跺	跺
舵	舵
剁	剁
惰	媠
堕	憜
蛾	睋
峨	睋
鹅	鹅
俄	皒
额	额
讹	讹
娥	皒
恶	悪
厄	苊
扼	扼
遏	遏
鄂	鄂
饿	皒
恩	慁
而	洏
儿	ル
耳	洱
尔	尒
饵	聶
洱	洱
二	②
贰	贰
发	潑
罚	藅
筏	筏
伐	浌
乏	疺
阀	阀
法	琺
珐	珐
藩	藩
帆	汎
番	畨
翻	飜
樊	樊
矾	矾
钒	钒
繁	瀿
凡	汎
烦	煩
反	反
返	返
范	笵
贩	贩
犯	氾
饭	粄
泛	疺
坊	汸
芳	淓
方	汸
肪	肪
房	房
防	汸
妨	妨
仿	汸
访	汸
纺	汸
放	倣
菲	婔
非	悱
啡	啡
飞	飛
肥	萉
匪	厞
诽	诽
吠	吠
肺	腓
废	廢
沸	沸
费	曊
芬	棼
酚	酚
吩	玢
氛	氛
分	汾
纷	妢
坟	墳
焚	焚
汾	汾
粉	帉
奋	奮
份	妢
忿	忿
愤	濆
粪	粪
丰	仹
封	崶
枫	猦
蜂	蜂
峰	峯
锋	峯
风	颩
疯	瘋
烽	烽
逢	漨
冯	溤
缝	漨
讽	讽
奉	唪
凤	鳯
佛	仏
否	娝
夫	玞
敷	敷
肤	膚
孵	孵
扶	荴
拂	拂
辐	辐
幅	諨
氟	氟
符	苻
伏	茯
俘	俘
服	棴
浮	捊
涪	涪
福	湢
袱	袱
弗	弗
甫	甫
抚	抚
辅	辅
俯	椨
釜	釜
斧	釡
脯	脯
腑	腑
府	椨
腐	腐
赴	赴
副	諨
覆	覆
赋	賦
复	復
傅	傅
付	苻
阜	阜
父	父
腹	腹
负	萯
富	冨
讣	讣
附	胕
妇	妇
缚	缚
咐	咐
噶	噶
嘎	嗄
该	姟
改	妀
概	漑
钙	鈣
盖	葢
溉	漑
干	迀
甘	苷
杆	杆
柑	柑
竿	芉
肝	肝
赶	迀
感	憾
秆	秆
敢	噉
赣	赣
冈	罓
刚	碙
钢	鋼
缸	矼
肛	釭
纲	罁
岗	罓
港	港
杠	釭
篙	禞
皋	皋
高	滈
膏	膏
羔	餻
糕	溔
搞	鎬
镐	鎬
稿	鎬
告	哠
哥	滒
歌	戨
搁	擱
戈	戈
鸽	鸽
胳	胳
疙	疙
割	剨
革	愅
葛	噶
格	咯
蛤	蛤
阁	阁
隔	隔
铬	铬
个	個
各	茖
给	给
根	艮
跟	茛
耕	畊
更	浭
庚	菮
羹	羹
埂	埂
耿	耿
梗	梗
工	笁
攻	糼
功	糼
恭	塨
龚	龚
供	栱
躬	匑
公	厷
宫	営
弓	弖
巩	巩
汞	汞
拱	珙
贡	貢
共	珙
钩	溝
勾	芶
沟	芶
苟	苟
狗	豞
垢	垢
构	媾
购	媾
够	夠
辜	辜
菇	菇
咕	咕
箍	箍
估	诂
沽	钴
孤	箛
姑	菇
鼓	鼔
古	咕
蛊	蛊
骨	嗗
谷	唂
股	骰
故	诂
顾	顧
固	凅
雇	雇
刮	剮
瓜	呱
剐	剮
寡	寡
挂	啩
褂	啩
乖	乖
拐	枴
怪	怪
棺	菅
关	関
官	菅
冠	蒄
观	觀
管	涫
馆	菅
罐	潅
惯	遦
灌	潅
贯	遦
光	洸
广	広
逛	迋
瑰	瑰
规	規
圭	圭
硅	硅
归	歸
龟	亀
闺	閨
轨	匦
鬼	媿
诡	詭
癸	癸
桂	蓕
柜	匱
跪	蛫
贵	貴
刽	刽
辊	辊
滚	蔉
棍	輥
锅	煱
郭	漷
国	國
果	淉
裹	裹
过	過
哈	铪
骸	骸
孩	陔
海	嗨
氦	氦
亥	亥
害	嗐
骇	骇
酣	酣
憨	憨
邯	邯
韩	韓
含	浛
涵	凾
寒	寒
函	凾
喊	諴
罕	癷
翰	翰
撼	撼
捍	捍
旱	猂
憾	憾
悍	悍
焊	猂
汗	汙
汉	漢
夯	夯
杭	忼
航	航
壕	壕
嚎	嚎
豪	濠
毫	毫
郝	郝
好	恏
耗	秏
号	呺
浩	滘
呵	哬
喝	曷
荷	嗬
菏	菏
核	劾
禾	秝
和	啝
何	哬
合	匼
盒	盉
貉	貉
阂	阂
河	菏
涸	涸
赫	赫
褐	褐
鹤	鹤
贺	哿
嘿	潶
黑	嫼
痕	痕
很	佷
狠	哏
恨	悢
哼	涥
亨	悙
横	橫
衡	蘅
恒	恆
轰	轟
哄	晎
烘	烘
虹	渱
鸿	鴻
洪	葓
宏	宖
弘	宖
红	葒
喉	糇
侯	糇
猴	糇
吼	犼
厚	厚
候	糇
后	後
呼	苸
乎	苸
忽	唿
瑚	瑚
壶	壺
葫	煳
胡	箶
蝴	箶
狐	狐
糊	煳
湖	煳
弧	弧
虎	唬
唬	唬
护	戶
互	沍
沪	戶
户	戶
花	埖
哗	蕐
华	澕
猾	磆
滑	磆
画	畵
划	劃
化	囮
话	話
槐	槐
徊	佪
怀	懷
淮	准
坏	壞
欢	歡
环	寰
桓	桓
还	還
缓	緩
换	換
患	漶
唤	喚
痪	痪
豢	豢
焕	焕
涣	涣
宦	宦
幻	抝
荒	巟
慌	巟
黄	曂
磺	磺
蝗	蝗
簧	簧
皇	瑝
凰	瑝
惶	瑝
煌	瑝
晃	愰
幌	縨
恍	恍
谎	巟
灰	洃
挥	媈
辉	媈
徽	幑
恢	恢
蛔	蛔
回	冋
毁	毇
悔	珻
慧	慧
卉	卉
惠	惠
晦	珻
贿	贿
秽	秽
会	浍
烩	烩
汇	匯
讳	讳
诲	诲
绘	浍
