吖	口丫
呵	口可
啊	口⻖可
嗄	口𦣻夂
腌	⺼大电
錒	金⻖可
锕	钅⻖可
阿	⻖可
𠼞	𠆢一口亞
𥥩	宀八丿冂口
𨉚	身大电
㑸	亻古可
㕌	厂日一寸
㗒	口衣口
㗨	匚矢殳口
㘷	土艹乂
㝶	⺫儿寸
㢊	广大可
㤅	旡心
㱯	歹山一口䒑
㿄	疒匚矢殳
䀳	目束
䅬	禾丷一八皿
䑂	⺼𦥑㇉一丨一八
䔽	艹氵曰勹𠃊人
䝽	貝厂土土
䨠	雨曰勹𠃊人
䬵	飠亠{丩}人
䶣	止凵人人一人人山一口䒑
伌	亻厂㔾
僾	亻爫冖心夂
凒	冫山一口䒑
叆	云爫冖𠂇又
哀	衣口
哎	口艹乂
唉	口厶矢
啀	口厂土土
嗌	口丷一八皿
嗳	口爫冖𠂇又
嘊	口山厂土土
噯	口爫冖心夂
埃	土厶矢
堨	土曰勹𠃊人
塧	土丷一八皿
壒	土艹去皿
娭	女厶矢
娾	女厂土土
嫒	女爫冖𠂇又
嬡	女爫冖心夂
嵦	山山一口䒑
愛	爫冖心夂
懓	忄爫冖心夂
懝	忄匕矢龴疋
挨	扌厶矢
捱	扌厂土土
敱	山一口䒑⺊又
敳	山一口䒑攵
昹	日永
暧	日爫冖𠂇又
曖	日爫冖心夂
欬	亠{丩}人欠
欸	厶矢欠
毐	士毋
溰	氵山一口䒑
溾	氵鬼
濭	氵艹去皿
焥	火宀夕㔾
爱	爫冖𠂇又
瑷	𤣩爫冖𠂇又
璦	𤣩爫冖心夂
癌	疒口口口山
皑	白山己
皚	白山一口䒑
皧	白爫冖心夂
瞹	目爫冖心夂
矮	矢禾女
砹	石艹乂
硋	石亠{丩}人
硙	石山己
碍	石日一寸
磑	石山一口䒑
礙	石匕矢龴疋
絠	糹𠂇月
艾	艹乂
蔼	艹讠曰勹𠃊人
薆	艹爫冖心夂
藹	艹訁曰勹𠃊人
諰	訁田心
譪	訁艹曰勹𠃊人
譺	訁匕矢龴疋
賹	貝丷一八皿
躷	身禾女
銰	金艹乂
鎄	金衣口
鑀	金爫冖心夂
锿	钅衣口
隑	⻖山一口䒑
隘	⻖丷一八皿
霭	雨讠曰勹𠃊人
靄	雨訁曰勹𠃊人
靉	雨云爫冖心夂
餲	飠曰勹𠃊人
馤	禾日曰勹𠃊人
鱫	魚爫冖心夂
鴱	艹乂鳥
𠊎	亻厂土土
𠳳	口口木
𡁍	口宀丰口欠
𡉓	土女
𡟓	女衣口
𡰽	尸尤
𡶃	山户乙
𢟪	{艮}旡心
𢟰	忄立𧰨
𢣏	忄艹去皿
𢣕	匕矢龴疋心
𢰇	扌亻厶矢
𣋞	日艹去皿
𣜬	木爫冖心夂
𣝅	木匕矢龴疋
𣤃	匕示欠乃
𣩄	歹去皿
𣩱	歹艹去皿
𤢵	犭厂艹田冂一丶
𤸖	疒衣口
𤸳	疒山一口䒑
𤻢	疒匚矢几口又
𥡽	禾⺈𠃊目夂
𥤦	宀八又
𥴨	竹爫冖心夂
𦗍	耳亠丷冖方
𦗐	耳立𧰨
𦤦	自犬曰勹𠃊人
𦥂	土土冖𠫔土
𦥈	⺷冖𠫔土
𦩴	舟山一口䒑
𧏹	虫立𧰨
𧓁	虫爫冖心夂
𧡋	厂土土見
𧪚	訁山一口䒑
𧰿	豕艹乂
𧵨	貝宀女
𨶂	門丷一八皿
𩂒	雨⺁巳
𩂢	雨丿{水}
𩈋	面介
𩪂	冎⺼山一口䒑
𩫇	不亠口冂口
𩮖	E𠫔彡山一口䒑
𪇈	爫冖心夂鳥
𪕭	臼{鼠下}曰勹𠃊人
㜝	女𠆢丶㇇酉
㟁	山厂干
㱘	厂曰⺝犬止
㸩	牜干
㽢	田大电
䁆	目大电
䅁	宀女禾
䅖	禾大电
䎏	𠆢丶㇇口习习
䎨	耒大电
䜙	訁日幺幺灬
䨄	𠆢丶㇇酉亻{隹右}
䬓	風立日
䮗	馬山厂干
䯥	冎⺼日幺幺灬
侒	亻宀女
俺	亻大电
偣	亻立日
儑	亻日幺幺灬
厂	一丿
厈	厂干
咹	口宀女
唵	口大电
啽	口𠆢一口廾
垵	土宀女
埯	土大电
堓	土山厂干
媕	女𠆢一口廾
安	宀女
屵	山厂
屽	山干
岸	山厂干
峖	山宀女
广	丶厂
庵	广大电
按	扌宀女
揞	扌立日
晻	日大电
暗	日立日
案	宀女木
桉	木宀女
氨	气宀女
洝	氵宀女
犴	犭干
玵	𤣩甘
痷	疒大电
盦	𠆢丶㇇酉皿
盫	𠆢一口酉皿
罯	罒立日
胺	⺼宀女
腤	⺼立日
荌	艹宀女
菴	艹大电
萻	艹立日
葊	艹𠆢一口廾
蓭	艹广大电
裺	衤大电
誝	訁𠆢丶㇇口
諳	訁立日
谙	讠立日
豻	豸干
貋	豸日干
銨	金宀女
錌	金山厂干
铵	钅宀女
闇	門立日
隌	⻖立日
雸	雨甘
鞌	宀女革
鞍	革宀女
韽	𠆢丶㇇酉立日
馣	禾日大电
鮟	魚宀女
鵪	大电鳥
鶕	立日鳥
鹌	大电鸟
黯	{里}灬立日
𠉬	亻口口厂
𠪚	厂{⿱𠃍耳}攵
𠰑	口厂干
𠽪	口氵立日
𠿑	口戊{一}口心
𡎑	土文厂彡
𡪁	宀爿𠆢丶㇇口
𡪙	宀女日月
𡯏	尢斗
𡹼	山厂亠二口
𡽜	山禾刂亠二口
𢰍	扌亠口火
𣆛	覀日
𣚖	木艹大电
𣣚	大电欠
𣵱	氵扌王
𣽥	氵干頁
𤃷	氵門立日
𤜁	厶牛戊{一}口心
𤞿	犭干犬
𤟉	犭山厂干
𥏮	矢立日
𥦍	宀八日廾
𥳬	竹{里}灬
𦺽	艹日大电
𧖮	丿皿日
