嗯	eng0.5;en0.5;
欸	ei0.3333333333333333;ai0.3333333333333333;e0.3333333333333333;
哟	yo0.5;you0.5;
育	yo0.0004664179104477612;yu0.9995335820895522;
阿	a0.9949523918779397;e0.005047608122060342;
吖	a0.5;ya0.5;
腌	a0.023809523809523808;yan0.9761904761904762;
艾	ai0.9995287464655985;yi0.000471253534401508;
嗌	ai0.5;yi0.5;
犴	an0.5;han0.5;
凹	ao0.9951923076923077;wa0.004807692307692308;
拗	ao0.5;niu0.5;
扒	ba0.5;pa0.1;
耙	ba0.9;pa0.5;
柏	bai0.9;bo0.1;
伯	bai0.006185567010309278;bo0.9938144329896907;
膀	bang0.9993898718730934;pang0.0006101281269066504;
磅	bang0.981651376146789;pang0.01834862385321101;
蚌	bang0.975609756097561;beng0.024390243902439025;
搒	bang0.5;peng0.5;
薄	bao0.7;bo0.3;
堡	bao0.9805825242718447;bu0.009708737864077669;pu0.009708737864077669;
剥	bao0.9;bo0.1;
刨	bao0.2;pao0.8;
曝	bao0.9701492537313433;pu0.029850746268656716;
炮	bao0.005633802816901409;pao0.9943661971830986;
趵	bao0.99;bo0.01;
瀑	bao0.005813953488372093;pu0.9941860465116279;
孛	bei0.5;bo0.5;
陂	bei0.47619047619047616;pi0.47619047619047616;po0.047619047619047616;
椑	bei0.5;pi0.5;
臂	bei0.0005243838489774515;bi0.9994756161510225;
贲	ben0.99;bi0.01;
栟	ben0.5;bing0.5;
夯	ben0.047619047619047616;hang0.9523809523809523;
辟	bi0.01;pi0.99;
裨	bi0.5;pi0.5;
佛	bi0.00020165355918531962;fo0.9594676346037507;fu0.04033071183706392;
泌	bi0.011363636363636364;mi0.9886363636363636;
秘	bi0.0002623983206507478;mi0.9997376016793492;
便	bian0.9984464902186421;pian0.0015535097813578827;
扁	bian0.9973544973544973;pian0.0026455026455026454;
骠	biao0.5;piao0.5;
槟	bin0.1;bing0.9;
玢	bin0.5;fen0.5;
屏	bing0.011013215859030838;ping0.9889867841409692;
泊	bo0.5;po0.5;
卜	bo0.03367003367003367;bu0.9663299663299664;
艴	bo0.5;fu0.5;
蕃	bo0.010309278350515464;fan0.9896907216494846;
埔	bu0.01;pu0.99;
嚓	ca0.5;cha0.5;
参	can0.9745720040281974;cen0.00025176233635448137;shen0.025176233635448138;
藏	cang0.9714040606233915;zang0.028595939376608523;
曾	ceng0.9952;zeng0.0048;
噌	ceng0.9803921568627451;cheng0.0196078431372549;
差	cha0.9826995546420006;chai0.0171291538198013;ci0.00017129153819801302;
查	cha0.9997605937275557;zha0.00023940627244433804;
刹	cha0.00909090909090909;sha0.990909090909091;
馇	cha0.5;zha0.5;
喳	cha0.004694835680751174;zha0.9953051643192489;
禅	chan0.9589322381930184;shan0.04106776180698152;
镡	chan0.3333333333333333;tan0.3333333333333333;xin0.3333333333333333;
单	chan0.00013528138528138528;dan0.9997294372294372;shan0.00013528138528138528;
长	chang0.8;zhang0.2;
裳	chang0.024390243902439025;shang0.975609756097561;
朝	chao0.9433811802232854;zhao0.05661881977671451;
焯	chao0.8571428571428571;zhuo0.14285714285714285;
绰	chao0.034482758620689655;chuo0.9655172413793104;
车	che0.99;ju0.01;
尺	che0.0009765625;chi0.9990234375;
称	chen0.011711560983771123;cheng0.9882884390162289;
谌	chen0.5;shen0.5;
棽	chen0.5;shen0.5;
梣	chen0.5;qin0.5;
盛	cheng0.8;sheng0.2;
乘	cheng0.9977324263038548;sheng0.0022675736961451248;
澄	cheng0.9911504424778761;deng0.008849557522123894;
晟	cheng0.006211180124223602;sheng0.9937888198757764;
铛	cheng0.007518796992481203;dang0.9924812030075187;
匙	chi0.02004008016032064;shi0.9799599198396793;
重	chong0.5;zhong0.5;
漴	chong0.5;shuang0.5;
涌	chong0.0005467468562055768;yong0.9994532531437944;
种	chong3.7677555480200444e-05;zhong0.9999623224445198;
仇	chou0.9631336405529954;qiu0.03686635944700461;
臭	chou0.9991843393148451;xiu0.0008156606851549756;
帱	chou0.5;dao0.5;
杻	chou0.5;niu0.5;
畜	chu0.9663299663299664;xu0.03367003367003367;
欻	chua0.5;xu0.5;
啜	chuai0.010869565217391304;chuo0.9891304347826086;
传	chuan0.9433807439824945;zhuan0.05661925601750547;
幢	chuang0.004098360655737705;zhuang0.9959016393442623;
伺	ci0.5;si0.5;
茈	ci0.5;zi0.5;
