不甚感激	不胜感激
烦不甚烦	烦不胜烦
防不甚防	防不胜防
饮鸠止渴	饮鸩止渴
馨竹难书	罄竹难书
一脸懵比	一脸蒙逼
一脸蒙蔽	一脸蒙逼
模版	模板
洛杉机	洛杉矶
一颗树	一棵树
记帐	记账
磨擦	摩擦
赢利	盈利
赢利点	盈利点
惟愿	唯愿
胡渣	胡茬
阀值	阈值
咖哩	咖喱
的嘞	得嘞
感概	感慨
转帐	转账
曾今	曾经
趟浑水	蹚浑水
掺合	掺和
搅合	搅和
档位	挡位
手动档	手动挡
自动档	自动挡
隔三差五	隔三岔五
爱答不理	爱搭不理
卯足了劲	铆足了劲
常年累月	长年累月
减振	减震
神祗	神祇
闺密	闺蜜
伸冤	申冤
份量	分量
粘腻	黏腻
粘稠	黏稠
粘稠度	黏稠度
粘膜	黏膜
粘人	黏人
胃粘膜	胃黏膜
鼻粘膜	鼻黏膜
以致于	以至于
哇塞	哇噻
好象	好像
就象	就像
象是	像是
想像力	想象力
想像中	想象中
水份	水分
天份	天分
部份	部分
大部份	大部分
成份股	成分股
打版	打板
恢弘	恢宏
惟一	唯一
惟有	唯有
粘液	黏液
烘培	烘焙
甚么	什么
什麼	什么
甚麼	什么
贴子	帖子
年青	年轻
年青人	年轻人
灰常	非常
管帐	管账
记录片	纪录片
彷佛	仿佛
时侯	时候
秘钥	密钥
颤栗	战栗
寒颤	寒战
监查	监察
延申	延伸
称做	称作
做为	作为
畜牲	畜生
订做	定做
订制	定制
奔溃	崩溃
致胜	制胜
飘渺	缥缈
惘闻	罔闻
得瑟	嘚瑟
钮钴禄	钮祜禄
钮钴禄氏	钮祜禄氏
完事大吉	万事大吉
置若惘闻	置若罔闻
确切的说	确切地说
度过难关	渡过难关
直接了当	直截了当
作出反应	做出反应
作出贡献	做出贡献
德克萨斯州	得克萨斯州
#浆糊 糨糊？
#脚指头 脚趾头？

